time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
390,1,0,0,0,0,1.5043,331,0,0,0,0,0,0,0,2653,0,0,247,0,0,3,0,0,0.085468,591,0.025182,591,0.0047719,591,0.0554802,591,0.0199916,591,0.0001101,591,0.0013575,58,0.0002349,74,0.0182458,591,0.0013548,591,0.0006629,573,5.43e-005,2,0.00196,27,0.000192,589,0.0006024,591,0.0055798,591,0.0001486,591,4.25e-005,591,0.0074122,591,0.0010745,591,0.0049386,591,0.0011678,573,54207,591
489,1,69.697,20.9091,4.18182,0.418182,0.39006,14,27.1021,5.61495,4.05911,0.0032718,3.47042,21.6436,0,58,9,0,247,0,0,0,0,0,0.172347,789,0.0282925,789,0.0063013,789,0.137711,789,0.0903416,789,0.0001468,789,0.002251,87,0.0003305,99,0.0875544,789,0.0017639,789,0.0008607,771,0.0365021,3,0.0244044,33,0.0002469,784,0.0014791,789,0.0076907,789,0.0001974,789,6.63e-005,789,0.0139424,789,0.0018993,789,0.0070623,789,0.004607,771,92605,789
589,1,8,17.0364,6.75273,1.05164,0.678503,7,3.82585,0.233862,0.164898,0.0030144,0.052407,3.56251,0,34,7,0,247,0,0,0,0,0,0.226329,989,0.0292847,989,0.0080301,989,0.188963,989,0.129386,989,0.0002073,989,0.0050478,147,0.0004989,124,0.123551,989,0.0021651,989,0.0011249,971,0.0395101,9,0.0252711,62,0.0003019,972,0.0071827,989,0.0096704,989,0.0002443,989,0.0011176,989,0.0364454,989,0.0051706,989,0.0105815,989,0.0199613,971,201736,989
689,1,1,12.2255,7.84727,1.7312,0.635913,8,0.972079,0.0777083,0.0319703,0.00208184,0.00216393,3.19627,0,22,3,0,247,0,0,0,0,0,0.286541,1189,0.0300396,1189,0.0093869,1189,0.247055,1189,0.178073,1189,0.0002435,1189,0.0085117,212,0.0006643,149,0.168555,1189,0.0024687,1189,0.0013323,1171,0.0443303,18,0.026151,89,0.0003547,1163,0.0149146,1189,0.011256,1189,0.0002857,1189,0.0018795,1189,0.0649698,1189,0.0095019,1189,0.0135043,1189,0.0407004,1171,375445,1189
789,1,1,8.85782,8.04938,2.36302,0.56946,8,0.871527,0.0597168,0.0267195,0.00200034,0.00158012,3.08423,0,19,3,0,247,0,0,0,0,0,0.34201,1389,0.030539,1389,0.0106279,1389,0.300775,1389,0.222479,1389,0.0002776,1389,0.0109635,264,0.0008853,174,0.210235,1389,0.002789,1389,0.0015252,1371,0.0472592,23,0.0262077,107,0.0004176,1358,0.0216238,1389,0.0126111,1389,0.000327,1389,0.0025002,1389,0.0942621,1389,0.0141594,1389,0.016229,1389,0.0619336,1371,569216,1389
889,1,2,6.80047,7.7996,2.90668,0.478702,7,0.933121,0.0894582,0.0257798,0.00202462,0.00164706,3.31816,0,19,3,0,247,0,0,0,0,0,0.391586,1589,0.0310773,1589,0.0120148,1589,0.348416,1589,0.259296,1589,0.0003162,1589,0.0131084,319,0.0010314,199,0.244705,1589,0.0030946,1589,0.0017261,1571,0.0486166,27,0.0264416,121,0.0004731,1550,0.0253249,1589,0.014161,1589,0.0003687,1589,0.0031879,1589,0.120494,1589,0.0190602,1589,0.0193614,1589,0.0794862,1571,714028,1589
989,1,0,4.76033,7.19175,3.33518,0.529094,6,0.881762,0.0660157,0.0270857,0.00226954,0.00163563,3.10803,0,21,4,0,247,0,0,0,0,0,0.453156,1789,0.0314694,1789,0.0132707,1789,0.408328,1789,0.309963,1789,0.0003482,1789,0.0171247,405,0.0011818,224,0.291157,1789,0.0034046,1789,0.0019227,1771,0.0529837,34,0.0266021,148,0.0005226,1743,0.0336153,1789,0.0156267,1789,0.00041,1789,0.004183,1789,0.150963,1789,0.0243229,1789,0.0220357,1789,0.101509,1771,907330,1789
1089,1,1,3.63223,6.47984,3.64965,0.413049,10,1.15549,0.098014,0.0245298,0.00199487,0.00157047,3.40138,0,19,7,0,247,0,0,0,0,0,0.498211,1989,0.0318379,1989,0.0146044,1989,0.451672,1989,0.342828,1989,0.0003837,1989,0.0184509,460,0.0013108,249,0.322512,1989,0.0037038,1989,0.0021087,1971,0.0529837,34,0.0266165,153,0.0005758,1939,0.0362108,1989,0.0169724,1989,0.0004513,1989,0.0043877,1989,0.177467,1989,0.0290808,1989,0.0249077,1989,0.119786,1971,1071521,1989
1189,1,0,2.54256,5.69239,3.85392,0.438845,10,0.760761,0.0730931,0.0246678,0.00195999,0.00161825,3.45355,0,16,3,0,247,0,0,0,0,0,0.543818,2189,0.0322821,2189,0.015973,2189,0.495458,2189,0.37582,2189,0.0004185,2189,0.0190525,490,0.0013685,274,0.354793,2189,0.00404,2189,0.0023245,2171,0.0529837,34,0.0270233,159,0.0006317,2139,0.0374525,2189,0.0185246,2189,0.0004983,2189,0.004451,2189,0.205725,2189,0.0341595,2189,0.0281256,2189,0.138959,2171,1241627,2189
1289,1,0,1.77979,4.90987,3.95952,0.506622,10,0.80214,0.0834951,0.0248922,0.0019202,0.00160617,4.47276,0,16,3,0,247,0,0,0,0,0,0.609361,2389,0.0331767,2389,0.0181289,2389,0.557942,2389,0.423465,2389,0.0004694,2389,0.0198793,519,0.0014904,299,0.401414,2389,0.0045561,2389,0.0026441,2371,0.0529837,34,0.0270233,159,0.0007059,2339,0.0380168,2389,0.0208838,2389,0.0005541,2389,0.0044731,2389,0.248283,2389,0.0429456,2389,0.0326453,2389,0.166879,2371,1410027,2389
