time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
502,1,0,0,0,0,0.437134,243,0,0,0,0,0,0,0,3255,0,0,240,0,0,3,0,0,0.146163,872,0.0228515,872,0.0095665,872,0.11365,872,0.0389739,872,0.0002278,872,0.0030431,67,0.0005634,109,0.0350128,872,0.0025278,872,0.0013175,767,0.0001695,2,0.0025751,30,0.0004996,870,0.0011911,872,0.0105927,872,0.0003052,872,9.88e-005,872,0.0151894,872,0.0021796,872,0.0105032,872,0.0019053,767,74361,872
601.5,1,16.5829,4.97487,0.994975,0.0994975,1.39001,2,13.4482,0.169244,0.411387,0.00394859,0.00459314,7.81922,0,105,15,0,240,0,0,0,0,0,0.259642,1071,0.033064,1071,0.0131999,1071,0.213267,1071,0.110554,1071,0.0003295,1071,0.007173,105,0.0008404,134,0.10205,1071,0.003482,1071,0.00196,966,0.0030964,3,0.0026571,38,0.0006408,1065,0.0064755,1071,0.0157518,1071,0.000401,1071,0.0004309,1071,0.0661115,1071,0.008753,1071,0.0174971,1071,0.038007,966,181174,1071
701.5,1,2,4.08241,1.61246,0.250794,1.11605,2,4.4594,0.546575,0.212689,0.00693631,0.00687756,6.61929,0,53,9,0,240,0,0,0,0,0,0.35718,1271,0.033952,1271,0.0154225,1271,0.307666,1271,0.186706,1271,0.0003924,1271,0.0122294,185,0.000998,159,0.172895,1271,0.0040956,1271,0.0023287,1166,0.0071171,7,0.0037571,57,0.0007222,1255,0.0185766,1271,0.0186048,1271,0.000467,1271,0.0023473,1271,0.11366,1271,0.0154757,1271,0.021972,1271,0.0736011,1166,342994,1271
801.5,1,1,3.15769,1.92151,0.417865,0.865009,2,3.04269,0.177021,0.10486,0.00766343,0.00368809,8.15258,0,27,5,0,240,0,0,0,0,0,0.433052,1471,0.0347389,1471,0.0175377,1471,0.38062,1471,0.241918,1471,0.0004646,1471,0.0125631,199,0.0010918,184,0.227584,1471,0.0046849,1471,0.0026546,1366,0.0071171,7,0.0043838,63,0.0008178,1455,0.0203155,1471,0.0210556,1471,0.0005239,1471,0.0023931,1471,0.162241,1471,0.0232495,1471,0.0260765,1471,0.108979,1366,535341,1471
901.5,1,0,2.21038,1.97928,0.574007,0.595695,2,2.31436,0.100742,0.0634095,0.00424844,0.0029815,8.00935,0,22,6,0,240,0,0,0,0,0,0.5033,1671,0.0352706,1671,0.0193132,1671,0.448546,1671,0.293628,1671,0.0005176,1671,0.0128049,211,0.0011679,209,0.278901,1671,0.0051745,1671,0.0029952,1566,0.0071171,7,0.0045015,65,0.0008957,1655,0.0204997,1671,0.0233953,1671,0.0005798,1671,0.0024171,1671,0.20976,1671,0.0308621,1671,0.0300984,1671,0.143364,1566,727341,1671
1001.5,1,0,1.54727,1.89288,0.705894,1.33431,2,3.00216,0.224586,0.118216,0.0113858,0.00414094,8.38028,0,22,4,0,240,0,0,0,0,0,0.575939,1871,0.0358318,1871,0.0212975,1871,0.518627,1871,0.34844,1871,0.0005661,1871,0.0138942,238,0.0012435,234,0.332479,1871,0.0056307,1871,0.0032814,1766,0.0094247,8,0.0045421,66,0.0009671,1854,0.0227716,1871,0.0256872,1871,0.0006321,1871,0.0025553,1871,0.255267,1871,0.0384177,1871,0.0336653,1871,0.176394,1766,919119,1871
1101.5,1,0,1.08309,1.73092,0.808397,1.05938,2,2.38755,0.128981,0.0604885,0.00374939,0.00287983,8.96581,0,23,6,0,240,0,0,0,0,0,0.70826,2071,0.0368452,2071,0.0240696,2071,0.647146,2071,0.460717,2071,0.0006178,2071,0.0240469,332,0.0014931,259,0.434269,2071,0.0061181,2071,0.0036533,1966,0.0200234,17,0.0046901,95,0.0010379,2045,0.0502362,2071,0.0290675,2071,0.0007055,2071,0.0081313,2071,0.308644,2071,0.0469697,2071,0.0378053,2071,0.216253,1966,1088019,2071
1201.5,1,0,0.758161,1.53637,0.881194,1.52329,2,2.41222,0.16288,0.0416212,0.00468424,0.00230297,8.74865,0,33,8,0,240,0,0,0,0,0,0.836595,2271,0.0379223,2271,0.0264389,2271,0.772019,2271,0.568572,2271,0.0006765,2271,0.0343084,408,0.0017709,284,0.531496,2271,0.0067183,2271,0.00407,2166,0.0283977,25,0.0049534,124,0.0011214,2237,0.0712432,2271,0.0321744,2271,0.0007771,2271,0.0120401,2271,0.367857,2271,0.0569001,2271,0.0423578,2271,0.259748,2166,1272278,2271
1301.5,1,0,0.530713,1.33524,0.926598,0.921138,3,2.32761,0.105374,0.0469815,0.00578684,0.00260114,8.65692,0,18,4,0,240,0,0,0,0,0,0.952058,2471,0.0388886,2471,0.0288051,2471,0.884135,2471,0.663636,2471,0.0007381,2471,0.040797,480,0.0020349,309,0.619718,2471,0.0072465,2471,0.0043985,2366,0.0349975,31,0.0050755,142,0.0012145,2429,0.0894131,2471,0.035315,2471,0.0008626,2471,0.0149088,2471,0.423904,2471,0.0664488,2471,0.0469716,2471,0.300551,2366,1460595,2471
1401.5,1,1,0.671499,1.20249,0.954188,1.90513,3,1.70274,0.15437,0.0688712,0.0050776,0.00356223,7.84619,0,18,3,0,240,0,0,0,0,0,1.10827,2671,0.0405277,2671,0.0331535,2671,1.03434,2671,0.781622,2671,0.0008644,2671,0.0453966,523,0.0022796,334,0.732687,2671,0.0082387,2671,0.0049846,2566,0.0361292,32,0.0050796,143,0.0013638,2628,0.093924,2671,0.040883,2671,0.0009837,2671,0.015109,2671,0.523252,2671,0.0870322,2671,0.0549359,2671,0.368155,2566,1641929,2671
1501.5,1,0,0.470049,1.056,0.964369,1.65299,2,1.73165,0.0998404,0.039279,0.00335841,0.00240292,7.77187,0,23,5,0,240,0,0,0,0,0,1.27106,2871,0.0422167,2871,0.0378106,2871,1.19077,2871,0.90467,2871,0.0009944,2871,0.0478401,556,0.0025155,359,0.852879,2871,0.0091945,2871,0.0056298,2766,0.0361292,32,0.0051365,145,0.0015367,2828,0.0962903,2871,0.0465736,2871,0.0011195,2871,0.0151789,2871,0.632947,2871,0.108156,2871,0.0639286,2871,0.443333,2766,1819527,2871
1601.5,1,0,0.329034,0.910608,0.958993,1.80901,1,1.6833,0.110951,0.0342953,0.00305734,0.00220828,7.66899,0,22,5,0,240,0,0,0,0,0,1.4437,3071,0.0438237,3071,0.0423296,3071,1.35726,3071,1.03897,3071,0.0011246,3071,0.0554425,623,0.0028171,384,0.979094,3071,0.0101256,3071,0.0063328,2966,0.0372364,33,0.0079794,155,0.0016969,3023,0.107034,3071,0.0516472,3071,0.0012294,3071,0.0159375,3071,0.736378,3071,0.128959,3071,0.0717587,3071,0.515033,2966,2003112,3071
1701.5,1,1,0.530324,0.834551,0.946549,2.13334,2,1.56295,0.124662,0.0372542,0.00334914,0.00298419,7.70326,0,19,5,0,240,0,0,0,0,0,1.63164,3271,0.0456746,3271,0.0469957,3271,1.53867,3271,1.18546,3271,0.0013115,3271,0.0590776,663,0.0031581,409,1.12136,3271,0.0113293,3271,0.0070138,3166,0.0372364,33,0.0081073,159,0.0018637,3217,0.110855,3271,0.0575663,3271,0.0013642,3271,0.0159954,3271,0.865961,3271,0.154694,3271,0.0814323,3271,0.605015,3166,2200212,3271
