time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
360,1,0,0,0,0,0.22876,244,0,0,0,0,0,0,0,2640,0,0,235,0,0,2,0,0,0.0871267,582,0.0178786,582,0.005617,582,0.0636064,582,0.0214768,582,0.0001136,582,0.0006572,38,0.0002555,73,0.0204097,582,0.0015019,582,0.0007381,582,0,0,0.0016217,24,0.0002239,582,0.0004937,582,0.0066875,582,0.0001524,582,5.01e-005,582,0.0086553,582,0.0013441,582,0.0051333,582,0.0019468,582,50634,582
460,1,3,0.9,0.18,0.018,0.160816,0,0,0,0,0,0,0,0,2653,0,0,235,0,0,0,0,0,0.111065,782,0.0205885,782,0.0074771,782,0.0829656,782,0.0276452,782,0.0001537,782,0.00084,53,0.0003271,98,0.0262685,782,0.001987,782,0.0009742,782,0,0,0.0016217,24,0.0002856,782,0.0006176,782,0.0086013,782,0.0002035,782,6.5e-005,782,0.0115322,782,0.0017598,782,0.0068409,782,0.0026238,782,68034,782
560,1,0,0.63,0.27,0.0432,0.168691,0,0,0,0,0,0,0,0,2653,0,0,235,0,0,0,0,0,0.127607,982,0.0206641,982,0.0086923,982,0.0982083,982,0.031968,982,0.0001952,982,0.0009313,65,0.0003777,123,0.0303955,982,0.0023087,982,0.0011634,982,0,0,0.0016217,24,0.0003347,982,0.0007108,982,0.0098197,982,0.0002412,982,7.87e-005,982,0.0136691,982,0.0019869,982,0.0081894,982,0.0031205,982,85434,982
660,1,0,0.441,0.3042,0.0693,0.157316,0,0,0,0,0,0,0,0,2653,0,0,235,0,0,0,0,0,0.149854,1182,0.0207681,1182,0.0104664,1182,0.118569,1182,0.0380112,1182,0.0002445,1182,0.0010453,78,0.0004419,148,0.0361973,1182,0.0027412,1182,0.0014075,1182,0,0,0.0016217,24,0.0003983,1182,0.0008526,1182,0.0115367,1182,0.0002892,1182,9.89e-005,1182,0.0167055,1182,0.0024167,1182,0.0100158,1182,0.0038192,1182,102834,1182
760,1,8,2.7087,0.7851,0.14088,0.583916,2,13.9669,0.00673302,0.0783921,0.00130319,0.000884323,4.54208,0,76,12,0,235,0,0,0,0,0,0.175344,1382,0.0211312,1382,0.0117037,1382,0.14245,1382,0.0516839,1382,0.0002852,1382,0.0016162,98,0.0005217,173,0.0491659,1382,0.0030965,1382,0.0016062,1382,0.001646,1,0.0016217,24,0.000451,1381,0.0025772,1382,0.0129007,1382,0.0003287,1382,0.0001211,1382,0.0241379,1382,0.0031977,1382,0.0116107,1382,0.0086842,1382,149970,1382
860,1,1,2.19609,1.0673,0.233522,0.775442,7,3.25536,0.349665,0.322129,0.0113316,0.00575461,3.75944,0,46,8,0,235,0,0,0,0,0,0.23727,1582,0.0219839,1582,0.01333,1582,0.201889,1582,0.0993456,1582,0.0003358,1582,0.0035578,142,0.0007215,198,0.0946153,1582,0.0035113,1582,0.0018528,1582,0.0033807,3,0.0017011,43,0.0005134,1576,0.0067761,1582,0.0150586,1582,0.0003753,1582,0.0005695,1582,0.0600364,1582,0.0090926,1582,0.0147056,1582,0.0347421,1582,338327,1582
960,1,11,4.83726,1.82129,0.392299,0.863191,12,1.31241,0.0833601,0.0468115,0.00227125,0.00166437,4.17055,0,32,4,0,235,0,0,0,0,0,0.331474,1782,0.0229958,1782,0.0158146,1782,0.292588,1782,0.172501,1782,0.000412,1782,0.004347,160,0.0009106,223,0.166687,1782,0.0042131,1782,0.0022782,1782,0.005907,4,0.0017056,45,0.0006249,1775,0.0080399,1782,0.0182977,1782,0.0004377,1782,0.0006691,1782,0.123398,1782,0.0229844,1782,0.0198935,1782,0.0772286,1782,545981,1782
1060,1,1,3.68608,2.19425,0.572494,0.462323,6,1.34602,0.108736,0.0491892,0.00428265,0.00217861,3.60147,0,30,4,0,235,0,0,0,0,0,0.415744,1982,0.0239067,1982,0.0184796,1982,0.373273,1982,0.236266,1982,0.0004859,1982,0.0051806,183,0.0009876,248,0.229441,1982,0.0048273,1982,0.0026488,1982,0.005907,4,0.0037878,51,0.0007108,1973,0.0089794,1982,0.020795,1982,0.0004888,1982,0.0006952,1982,0.179273,1982,0.0349256,1982,0.0246565,1982,0.114953,1982,754013,1982
1160,1,0,2.58026,2.27145,0.74239,0.998307,12,1.06878,0.107696,0.0305614,0.00264058,0.00168442,4.37948,0,29,4,0,235,0,0,0,0,0,0.479082,2182,0.0244504,2182,0.020381,2182,0.434157,2182,0.283262,2182,0.0005422,2182,0.005742,210,0.0010828,273,0.275697,2182,0.005245,2182,0.00292,2182,0.005907,4,0.0038164,54,0.0007828,2169,0.0100485,2182,0.0229711,2182,0.0005419,2182,0.0007571,2182,0.22119,2182,0.042009,2182,0.0279697,2182,0.145148,2182,959915,2182
1260,1,0,1.80618,2.1784,0.88599,1.3359,5,1.00699,0.105396,0.026574,0.00203659,0.00157548,4.41491,0,29,4,0,235,0,0,0,0,0,0.599436,2382,0.0256522,2382,0.0237552,2382,0.549925,2382,0.37624,2382,0.0006384,2382,0.0081331,250,0.0013192,298,0.365916,2382,0.006043,2382,0.0033889,2382,0.0073848,6,0.0038164,54,0.0009029,2367,0.014979,2382,0.0266249,2382,0.0006173,2382,0.0011883,2382,0.299211,2382,0.0589551,2382,0.0346895,2382,0.19714,2382,1164629,2382
